DISASTERS,JJ,0
.,NNS,0
TO,_SP,0
PROTECT,TO,0
PUBLIC,VB,0
HEALTH,JJ,0
AND,NN,0
THE,CC,0
ENVIRONMENT,DT,0
THE,NN,0
SUPERFUND,DT,0
PROGRAM,NNP,0
FOCUSES,NN,0
ON,VBZ,0
MAKING,IN,0
A,VBG,0
VISIBLE,DT,0
AND,JJ,0
LASTING,CC,0
DIFFERENCE,JJ,0
IN,NN,0
COMMUNITIES,IN,0
ENSURING,NNS,0
THAT,VBG,0
PEOPLE,IN,0
CAN,NNS,0
LIVE,MD,0
AND,VB,0
WORK,CC,0
IN,VB,0
HEALTHY,IN,0
VIBRANT,JJ,0
PLACES,JJ,0
.,NNS,0
ACCORDING,_SP,0
TO,VBG,0
THE,IN,0
WASHTENAW,DT,0
COUNTY,NNP,0
HEALTH,NNP,0
DEPARTMENT,NNP,0
íS,NNP,0
WEBSITE,NNP,0
THE,_SP,0
1,DT,1
4-DIOXANE,CD,1
CONTAMINATION,CD,0
IS,NN,0
NOT,VBZ,0
A,RB,0
NEW,DT,0
PROBLEM,JJ,0
.,NN,0
FROM,_SP,0
1966,IN,0
UNTIL,CD,0
1986,IN,0
GELMAN,CD,0
SCIENCES,NNP,0
(,NNPS,0
LATER,-LRB-,0
PALL,RB,0
CORPORATION,NNP,0
AND,NNP,0
NOW,CC,0
DANAHER,RB,0
),NNP,0
USED,-RRB-,0
1,VBD,1
4-DIOXANE,CD,1
IN,CD,0
THEIR,IN,0
MANUFACTURING,PRP$,0
PROCESS,NN,0
THE,NN,0
COUNTY,DT,0
HEALTH,NN,0
DEPARTMENT,NNP,0
SAID,NN,0
.,VBD,0
IN,_SP,0
1985,IN,0
1,CD,1
4-DIOXANE,CD,1
WAS,CD,0
DISCOVERED,VBD,0
IN,VBN,0
RESIDENTIAL,IN,0
DRINKING,JJ,0
WATER,NN,0
WELLS,NN,0
IN,NNS,0
THE,IN,0
AREA,DT,0
.,NN,0
UNFORTUNATELY,_SP,0
1,RB,1
4-DIOXANE,CD,1
DOES,CD,0
NOT,VBZ,0
BREAK,RB,0
DOWN,VB,0
QUICKLY,RP,0
IN,RB,0
WATER,IN,0
.,NN,0
A,_SP,0
LARGE,DT,0
PLUME,JJ,0
STILL,NN,0
EXISTS,RB,0
UNDERGROUND,VBZ,0
IN,RB,0
THE,IN,0
SOIL,DT,0
AND,NN,0
WATER,CC,0
EVEN,NN,0
AFTER,RB,0
ALL,IN,0
THIS,PDT,0
TIME,DT,0
.,NN,0
CHEBOYGAN,_SP,0
COUNTY-,NNP,0
THE,_SP,0
UNITED,DT,0
STATES,NNP,0
COAST,NNP,0
GUARD,NNP,0
HAS,NNP,0
SUCCESSFULLY,VBZ,0
FREED,RB,0
A,VBN,0
LARGE,DT,0
TUG,JJ,0
BOAT,NN,0
AND,NN,0
BARGE,CC,0
THAT,NNP,0
HAD,WDT,0
RUN,VBD,0
AGROUND,VBN,0
IN,RB,0
THE,IN,0
ROUND,DT,0
ISLAND,NNP,0
PASSAGE,NNP,0
IN,NNP,0
THE,IN,0
STRAITS,DT,0
OF,NNPS,0
MACKINAC,IN,0
LATE,NNP,0
LAST,RB,0
WEEK.,JJ,0
THE,_SP,0
COAST,DT,0
GUARD,NNP,0
HAD,NNP,0
RECEIVED,VBD,0
A,VBN,0
REPORT,DT,0
THAT,NN,0
THE,IN,0
VESSEL,DT,0
DEFIANCE,NN,0
A,NNP,0
720,DT,0
FOOT,CD,0
INTEGRATED,NN,0
TUG,VBN,0
AND,NN,0
BARGE,CC,0
HAD,_SP,0
RUN,VBD,0
AGROUND,VBN,0
IN,RB,0
THE,IN,0
PASSAGE,DT,0
BETWEEN,NN,0
MACKINAC,IN,0
ISLAND,NNP,0
AND,NNP,0
ROUND,CC,0
ISLAND,NNP,0
IN,NNP,0
THE,IN,0
STRAITS,DT,0
FRIDAY,NNPS,0
.,NNP,0
THIS,_SP,0
WAS,DT,0
REPORTED,VBD,0
TO,VBN,0
THE,IN,0
COAST,DT,0
GUARD,NNP,0
SECTOR,NNP,0
SAULT,NNP,0
STE,NNP,0
.,NNP,0
MARIE,_SP,0
COMMAND,NNP,0
CENTER,NN,0
AT,NN,0
2:52,IN,0
P.M.,CD,0
THE,_SP,0
VESSEL,DT,0
HAD,NN,0
"97,VBD,0
,GALLONS,``,0
,OF,CD,O
,DIESEL,NNS,1
,FUEL,IN,O
,AND,NN,O
,2.917,NN,O
,TONS,CC,O
,OF,CD,O
,STONE,NNS,O
,ONBOARD,IN,O
,.,NN,O
Sentence: 24,PRECAUTIONARY,_SP,O
,MEASURES,JJ,O
,WERE,NNS,O
,TAKEN,VBD,O
,TO,VBN,O
,ASSESS,TO,O
,ANY,VB,O
,DAMAGE,DT,O
,AND,NN,O
,THERE,CC,O
,WERE,EX,O
,NO,VBD,O
,REPORTED,DT,O
,INJURIES,VBN,O
,POLLUTION,_SP,O
,OR,NN,O
,FLOODING,CC,O
,.,NN,O
Sentence: 25,THE,_SP,O
,COAST,DT,O
,GUARD,NNP,O
,ESTABLISHED,NNP,O
,A,VBD,O
,SAFETY,DT,O
,ZONE,NN,O
,IN,NN,O
,THIS,IN,O
,AREA,DT,O
,PROHIBITING,_SP,O
,THE,VBG,O
,TRANSIT,DT,O
,OF,NN,O
,VESSELS,IN,O
,OVER,NNS,O
,100,IN,O
,GROSS,CD,O
,TONS,JJ,O
,THROUGH,NNS,O
,THE,IN,O
,ROUND,DT,O
Sentence: 27,EAST,NNP,O
,RIVER,NNP,O
,ENERGY,NNP,O
,IS,VBZ,O
,DENYING,VBG,O
,A,DT,O
,TOWN,NN,O
,CONSULTANT‚ÄôS,JJ,O
,CONTENTION,NN,O
,THAT,IN,O
,THE,DT,O
,JULY,NNP,O
,SPILL,NN,O
,WAS,VBD,O
,CAUSED,VBN,O
,BY,IN,O
,THE,DT,O
,OIL,NN,O
,COMPANY,NN,O
,AND,CC,O
,NOT,RB,O
,THE,DT,O
,TOWN‚ÄôS,NN,O
,CORRODED,VBN,O
,AND,CC,O
,SUBSTANDARD,JJ,O
,UNDERGROUND,JJ,O
,PIPES,NNS,O
,.,.,O
Sentence: 28,EAST,NNP,O
,RIVER,NNP,O
,REPRESENTATIVES,NNS,O
,ALSO,RB,O
,HAVE,VBP,O
,TOLD,VBN,O
,MUNICIPAL,JJ,O
,OFFICIALS,NNS,O
,AND,CC,O
,THE,DT,O
,STATE,NN,O
,DEPARTMENT,NNP,O
,OF,IN,O
,ENVIRONMENTAL,NNP,O
,PROTECTION,NNP,O
,THAT,IN,O
,THEY,PRP,O
,DISPUTE,VBP,O
,TOWN,NN,O
,CLAIMS,VBZ,O
,THAT,IN,O
,A,DT,O
,DELIVERY,NN,O
,WAS,VBD,O
,MADE,VBN,O
,TO,IN,O
,THE,DT,O
,WRONG,JJ,O
,PIPE,NN,O
,.,.,O
Sentence: 29,NEW,NNP,O
,HAVEN,NNP,O
,ATTORNEY,NN,O
,WAYNE,NNP,O
,MARTINO,NNP,O
Sentence: 30,REPRESENTING,VBG,O
,EAST,NNP,O
,RIVER,NNP,O
,ENERGY,NNP,O
Sentence: 31,ADVISED,VBD,O
,THE,DT,O
,TOWN,NN,O
,IN,IN,O
,A,DT,O
,LETTER,NN,O
,THAT,IN,O
,THE,DT,O
,COMPANY,NN,O
,IS,VBZ,O
,DENYING,VBG,O
,ANY,DT,O
,RESPONSIBILITY,NN,O
,FOR,IN,O
,THE,DT,O
,LEAK,NN,O
,AND,CC,O
,HAS,VBZ,O
,REQUESTED,VBN,O
,ANY,DT,O
,EVIDENCE,NN,O
,TO,TO,O
,SUBSTANTIATE,VB,O
,THE,DT,O
,TOWN‚ÄôS,JJ,O
,CLAIM,NN,O
,.,.,O
Sentence: 32,GOLDBLATT,NNP,O
,SAID,VBD,O
,HE,PRP,O
,HOPED,VBD,O
,A,DT,O
,RESOLUTION,NN,O
,COULD,MD,O
,BE,VB,O
,REACHED,VBN,O
,.,.,O
Sentence: 33,SCOTT,NNP,O
,DESHEFY,NNP,O
Sentence: 34,SUPERVISORY,JJ,O
,ENVIRONMENTAL,JJ,O
,ANALYST,NN,O
,FOR,IN,O
,THE,DT,O
,DEP‚ÄôS,NNS,O
,UNDERGROUND,NNP,O
,TANK,NNP,O
,ENFORCEMENT,NNP,O
,PROGRAM,NNP,O
Sentence: 35,SAID,VBD,O
,FRIDAY,NNP,O
,THE,DT,O
,DEP,NNP,O
,HAS,VBZ,O
,REVIEWED,VBN,O
,THE,DT,O
,REPORT,NN,O
,BY,IN,O
,DELTA,NNP,O
,ENVIRONMENTAL,NNP,O
,SERVICES,NNPS,O
,OF,IN,O
,BRANFORD,NNP,O
Sentence: 36,WHICH,WDT,O
,CONTENDS,VBZ,O
,THE,DT,O
,OIL,NN,O
,COMPANY,NN,O
,PUT,VBD,O
,HUNDREDS,NNS,O
,OF,IN,O
,GALLONS,NNS,O
,OF,IN,O
,FUEL,NN,O
,INTO,IN,O
,THE,DT,O
,WRONG,JJ,O
,PIPE,NN,O
,.,.,O
Sentence: 37,BUT,CC,O
,DESHEFY,NNP,O
,SAID,VBD,O
,ALSO,RB,O
,HE,PRP,O
,MET,VBD,O
,RECENTLY,RB,O
,WITH,IN,O
,EAST,NNP,O
,ENERGY,NNP,O
,OFFICIALS,NNS,O
Sentence: 38,WHO,WP,O
,",``,0
WERE,VBD,0
ADAMANT,JJ,0
THEY,PRP,0
DID,VBD,0
NOT,RB,0
DELIVER,VB,0
OIL,NN,0
TO,IN,0
THE,DT,0
WRONG,JJ,0
PIPE,NN,0
.,.,0
"""","""",0
TO,IN,0
THIS,DT,0
POINT,NN,0
WE,PRP,0
CAN,MD,0
NOT,RB,0
DETERMINE,VB,0
THAT,DT,0
OR,CC,0
NOT,RB,0
"""","""",0
RIGHT,RB,0
NOW,RB,0
IT,PRP,0
APPEARS,VBZ,0
TO,TO,0
BE,VB,0
BETWEEN,IN,0
THE,DT,0
TOWN,NN,0
AND,CC,0
THE,DT,0
OIL,NN,0
COMPANY,NN,0
.,.,0
",``,O
,DESHEFY,NNP,O
,ADDED,VBD,O
Sentence: 43,",``,0
THE,DT,0
TOWN,NN,0
IS,VBZ,0
STILL,RB,0
RESPONSIBLE,JJ,0
FOR,IN,0
HAVING,VBG,0
SUBSTANDARD,JJ,0
UNDERGROUND,JJ,0
PIPES,NNS,0
IN,IN,0
PLACE,NN,0
THAT,WDT,0
HAVE,VBP,0
VIOLATED,VBN,0
STATE,NN,0
STATUTES,NNS,0
FOR,IN,0
16,CD,0
YEARS,NNS,0
WHICH,WDT,0
COULD,MD,0
ALSO,RB,0
MEAN,VB,0
A,DT,0
DUAL,JJ,0
CAUSE,NN,0
.,.,0
"""","""",0
KATRINA,NNP,0
DID,VBD,0
KICK,VB,0
IT,PRP,0
PRETTY,RB,0
GOOD,JJ,0
BUT,CC,0
THEY,PRP,0
HAVE,VBP,0
BEEN,VBN,0
GROWING,VBG,0
BACK,RB,0
"""","""",0
DEC,NNP,0
IS,VBZ,0
OVERSEEING,VBG,0
THE,DT,0
CLEAN,VB,0
-,HYPH,0
UP,NN,0
OF,IN,0
THE,DT,0
SPILLED,VBN,0
FUEL,NN,0
AS,RB,0
WELL,RB,0
AS,IN,0
THE,DT,0
CONTAMINATED,JJ,0
SNOW,NN,0
AND,CC,0
SOILS,NNS,0
"""","""",0
OUT,IN,0
OF,IN,0
AN,DT,0
ABUNDANCE,NN,0
OF,IN,0
CAUTION,NN,0
DEC,NNP,0
HAS,VBZ,0
DIRECTED,VBN,0
SAMPLING,NN,0
OF,IN,0
DRINKING,NN,0
WATER,NN,0
WELLS,NNS,0
ON,IN,0
SITE,NN,0
TO,TO,0
ENSURE,VB,0
THESE,DT,0
WELLS,NNS,0
WERE,VBD,0
NOT,RB,0
CONTAMINATED,VBN,0
WITH,IN,0
FUEL,NN,0
OIL,NN,1
.,.,0
SAMPLING,NN,0
RESULTS,NNS,0
WILL,MD,0
BE,VB,0
PROVIDED,VBN,0
TO,IN,0
THE,DT,0
DEPARTMENT,NNP,0
OF,IN,0
HEALTH,NNP,0
WHICH,WDT,0
HAS,VBZ,0
JURISDICTION,NN,0
OVER,IN,0
PRIVATE,JJ,0
DRINKING,NN,0
WATER,NN,0
SUPPLIES,NNS,0
.,.,0
"""",``,0
THE,DT,0
WEATHER,NN,0
IS,VBZ,0
THE,DT,0
CULPRIT,NN,0
HERE,RB,0
"""","""",0
THE,DT,0
SYSTEM,NN,0
IS,VBZ,0
N'T,RB,0
BUILT,VBN,0
FOR,IN,0
EVERYONE,NN,0
TO,TO,0
HAVE,VB,0
THEIR,PRP$,0
WATER,NN,0
ON,IN,0
ALL,PDT,0
THE,DT,0
TIME,NN,0
.,.,0
GERARDO,NNP,0
CARILLO,NNP,0
OF,IN,0
47,CD,0
CIRCLE,NNP,0
DRIVE,NNP,0
NOTICED,VBD,0
A,DT,0
SMELL,NN,0
OF,IN,0
PETROLEUM,NN,0
IN,IN,0
THE,DT,0
AIR,NN,0
THREE,CD,0
DAYS,NNS,0
AGO,RB,0
AND,CC,0
SAW,VBD,0
THE,DT,0
SLICK,JJ,0
SHIMMER,NN,0
OF,IN,0
OIL,NN,1
IN,IN,0
NORTON,NNP,0
BROOK,NNP,0
WHICH,WDT,0
RUNS,VBZ,0
BEHIND,IN,0
HIS,PRP$,0
HOUSE,NN,0
.,.,0
CARILLO,NNP,0
CALLED,VBN,0
THE,DT,0
TORRINGFORD,NNP,0
FIRE,NNP,0
DEPARTMENT,NNP,0
WHEN,WRB,0
HE,PRP,0
REALIZED,VBD,0
THE,DT,0
PROBLEM,NN,0
MIGHT,MD,0
BE,VB,0
SERIOUS,JJ,0
.,.,0
ABOUT,RB,0
1:30,CD,0
P.M.,NN,0
MEMBERS,NNS,0
OF,IN,0
THE,DT,0
TORRINGTON,NNP,0
AND,CC,0
TORRINGFORD,NNP,0
DEPARTMENTS,NNPS,0
WERE,VBD,0
OUT,RP,0
IN,IN,0
THE,DT,0
COLD,JJ,0
RAIN,NN,0
AWAITING,VBG,0
THE,DT,0
ARRIVAL,NN,0
OF,IN,0
THE,DT,0
DEP,NNP,0
AND,CC,0
CITY,NN,0
SEWER,NN,0
EMPLOYEES,NNS,0
.,.,0
THE,DT,0
FIREFIGHTERS,NNS,0
HAD,VBD,0
ALREADY,RB,0
SET,VBN,0
UP,RP,0
BOOMS,NNS,0
IN,IN,0
SEVERAL,JJ,0
LOCATIONS,NNS,0
ON,IN,0
THE,DT,0
BROOK,NN,0
TO,TO,0
ABSORB,VB,0
THE,DT,0
PASSING,VBG,0
PETROLEUM,NN,0
.,.,0
THE,DT,0
GOAL,NN,0
WAS,VBD,0
TO,TO,0
STOP,VB,0
IT,PRP,0
FROM,IN,0
FLOWING,VBG,0
INTO,IN,0
A,DT,0
CULVERT,NN,0
UNDER,IN,0
CIRCLE,NNP,0
DRIVE,NNP,0
AND,CC,0
POSSIBLY,RB,0
POLLUTING,VBG,0
MORE,JJR,0
OF,IN,0
THE,DT,0
SMALL,JJ,0
WATERWAY,NN,0
.,.,0
BECAUSE,IN,0
OF,IN,0
THE,DT,0
RAIN,NN,0
THE,DT,0
DEP,NNP,0
SUPERVISOR,NN,0
SAID,VBD,0
IT,PRP,0
IS,VBZ,0
DIFFICULT,JJ,0
TO,TO,0
DETERMINE,VB,0
HOW,WRB,0
BAD,JJ,0
THE,DT,0
SPILL,NN,0
IS,VBZ,0
.,.,0
HE,PRP,0
NOTED,VBD,0
THAT,IN,0
A,DT,0
SMALL,JJ,0
AMOUNT,NN,0
OF,IN,0
OIL,NN,0
CAN,MD,0
CAUSE,VB,0
A,DT,0
LARGE,JJ,0
SHEEN,NN,0
.,.,0
",``,O
,I,PRP,O
,'VE,VB,O
,BEEN,VBN,O
,TOLD,VBN,O
,YOU,PRP,O
,CAN,MD,O
,COVER,VB,O
,A,DT,O
,SEA,NN,O
,MILE,NN,O
,WITH,IN,O
,A,DT,O
,QUART,NN,O
,OF,IN,O
,OIL,NN,O
Sentence: 176,",'',0
HE,PRP,0
SAID,VBD,0
.,.,0
THE,DT,0
NEIGHBORHOOD,NN,0
IS,VBZ,0
ALSO,RB,0
LUCKY,JJ,0
NORTON,NNP,0
BROOK,NNP,0
IS,VBZ,0
A,DT,0
RAPIDLY,RB,0
MOVING,VBG,0
STREAM,NN,0
.,.,0
YORKE,NNP,0
SAID,VBD,0
USUALLY,RB,0
SURFACE,NN,0
SPILLS,NNS,0
DO,VBP,0
N'T,RB,0
IMPACT,VB,0
DRINKING,NN,0
WATER,NN,0
WELLS,NNS,0
ESPECIALLY,RB,0
WHEN,WRB,0
THE,DT,0
WATER,NN,0
IS,VBZ,0
MOVING,VBG,0
AND,CC,0
HAS,VBZ,0
LITTLE,JJ,0
CHANCE,NN,0
TO,TO,0
LEACH,VB,0
INTO,IN,0
THE,DT,0
SOIL,NN,0
.,.,0
THE,DT,0
SPILL,NN,0
SHOULD,MD,0
ALSO,RB,0
HAVE,VB,0
LITTLE,JJ,0
IMPACT,NN,0
ON,IN,0
VEGETATION,NN,0
ALONG,IN,0
NORTON,NNP,0
BROOK,NNP,0
BECAUSE,IN,0
OF,IN,0
THE,DT,0
STREAM,NN,0
'S,POS,0
RAPID,JJ,0
FLOW,NN,0
BUT,CC,0
YORKE,NNP,0
WOULD,MD,0
N'T,RB,0
COMMENT,VB,0
ON,IN,0
ITS,PRP$,0
POSSIBLE,JJ,0
HARM,NN,0
TO,IN,0
AQUATIC,JJ,0
LIFE,NN,0
.,.,0
"""","""",0
YORKE,NNP,0
SAID,VBD,0
"""","""",0
AS,IN,0
OF,IN,0
FRIDAY,NNP,0
EVENING,NN,0
DEP,NNP,0
CREWS,NNS,0
REMAINED,VBD,0
ON,IN,0
SCENE,NN,0
.,.,0
NO,DT,0
ESTIMATE,NN,0
ON,IN,0
THE,DT,0
SIZE,NN,0
OF,IN,0
THE,DT,0
SPILL,NN,0
OR,CC,0
THE,DT,0
SOURCE,NN,0
OF,IN,0
THE,DT,0
SPILL,NN,0
WAS,VBD,0
AVAILABLE,JJ,0
.,.,0
OFFICIALS,NNS,0
FROM,IN,0
THE,DT,0
MICHIGAN,NNP,0
DEPARTMENT,NNP,0
OF,IN,0
ENVIRONMENTAL,NNP,0
QUALITY,NNP,0
RETURNED,VBD,0
TO,IN,0
HURON,NNP,0
COUNTY,NNP,0
ON,IN,0
WEDNESDAY,NNP,0
TO,TO,0
CONTINUE,VB,0
THE,DT,0
CLEANUP,NN,0
AND,CC,0
INVESTIGATION,NN,0
OF,IN,0
A,DT,0
50-GALLON,CD,0
OIL,NN,1
SPILL,NN,0
.,.,0
THE,DT,0
SPILL,NN,0
WHICH,WDT,0
OCCURRED,VBD,0
IN,IN,0
OLIVER,NNP,0
TOWNSHIP,NNP,0
COULD,MD,0
HAVE,VB,0
BEEN,VBN,0
A,DT,0
LOT,NN,0
WORSE,JJR,0
ACCORDING,VBG,0
TO,IN,0
KIP,NNP,0
CRONK,NNP,0
ENVIRONMENTAL,JJ,0
QUALITY,NN,0
ANALYST,NN,0
FROM,IN,0
THE,DT,0
DEQ.‚ÄúOUR,NNP,0
NO,NN,0
.,NN,0
1,CD,0
GOAL,NN,0
WAS,VBD,0
TO,TO,0
KEEP,VB,0
IT,PRP,0
FROM,IN,0
GETTING,VBG,0
TO,IN,0
THE,DT,0
(,-LRB-,0
PINNEBOG,NNP,0
),-RRB-,0
RIVER,NNP,0
‚Äù,NNP,0
CRONK,NNP,0
TOLD,VBD,0
THE,DT,0
TRIBUNE,NNP,0
ON,IN,0
WEDNESDAY,NNP,0
.,.,0
THE,DT,0
MAROON,NN,0
COLORED,VBN,0
MATERIAL,NN,0
WHICH,WDT,0
CRONK,NNP,0
SAID,VBD,0
IS,VBZ,0
MOST,RBS,0
LIKELY,JJ,0
DIESEL,NN,1
OR,CC,0
HEATING,NN,1
FUEL,NN,1
LEAKED,VBN,0
INTO,IN,0
A,DT,0
STREAM,NN,0
THAT,WDT,0
FLOWS,VBZ,0
PARALLEL,JJ,0
TO,IN,0
CENTURY,NNP,0
OAKS,NNPS,0
GOLF,NNP,0
COURSE,NNP,0
IN,IN,0
ELKTON,NNP,0
AND,CC,0
CONNECTS,NNS,0
TO,IN,0
THE,DT,0
PINNEBOG,NNP,0
RIVER,NNP,0
.,.,0
THE,DT,0
SOURCE,NN,0
OF,IN,0
THE,DT,0
LEAK,NN,0
CRONK,NNP,0
SAID,VBD,0
APPEARS,VBZ,0
TO,TO,0
BE,VB,0
FROM,IN,0
A,DT,0
NEARBY,JJ,0
FIELD,NN,0
TILE,NN,0
OUTLET,NN,0
THAT,WDT,0
FLOWED,VBD,0
INTO,IN,0
THE,DT,0
DITCH,NN,0
DRAIN,NN,0
.,.,0
THE,DT,0
WORST,JJS,0
-,HYPH,0
CASE,NN,0
SCENARIO,NN,0
HOWEVER,RB,0
WAS,VBD,0
MUCH,RB,0
GREATER,JJR,0
THAN,IN,0
DIESEL,NN,0
OIL,NN,0
IN,IN,0
A,DT,0
DITCH,NN,0
.,.,0
ACCORDING,VBG,0
TO,IN,0
CRONK,NNP,0
THE,DT,0
SUBSTANCE,NN,0
COULD,MD,0
EASILY,RB,0
HAVE,VB,0
ENTERED,VBN,0
THE,DT,0
PINNEBOG,NNP,0
RIVER,NNP,0
AND,CC,0
TRAVELED,VBD,0
TO,IN,0
THE,DT,0
SAGINAW,NNP,0
BAY,NNP,0
.,.,0
HE,PRP,0
CREDITED,VBD,0
CONTAINMENT,NN,0
TO,IN,0
THE,DT,0
‚ÄúQUICK,NNP,0
RESPONSE,NN,0
BY,IN,0
LOCAL,JJ,0
DEPARTMENTS,NNS,0
‚Äù,NNP,0
THAT,WDT,0
