Sentence #,Word,Tag
NaN,area,O
NaN,,O
NaN,prohibiting,O
NaN,the,O
NaN,transit,O
NaN,of,O
NaN,vessels,O
NaN,over,O
NaN,100,O
NaN,gross,O
NaN,tons,O
NaN,through,O
NaN,the,O
NaN,Round,O
NaN,Island,O
NaN,Passage,O
NaN,and,O
NaN,prohibited,O
NaN,other,O
NaN,vessels,O
NaN,from,O
NaN,navigating,O
NaN,within,O
NaN,200,O
NaN,yards,O
NaN,of,O
NaN,the,O
NaN,ship,O
NaN,that,O
NaN,had,O
NaN,run,O
NaN,aground.,O
Sentence 17,The,O
NaN,Defiance,O
NaN,had,O
NaN,departed,O
NaN,from,O
NaN,Cedarville,O
NaN,and,O
NaN,was,O
NaN,on,O
NaN,its,O
NaN,way,O
NaN,to,O
NaN,its,O
NaN,next,O
NaN,port,O
NaN,of,O
NaN,call,O
NaN,in,O
NaN,Buffington,O
NaN,,O
NaN,IN,O
NaN,,O
NaN,when,O
NaN,it,O
NaN,ran,O
NaN,aground,O
NaN,.,O
Sentence 18,There,O
NaN,was,O
NaN,an,O
NaN,investigation,O
NaN,into,O
NaN,the,O
NaN,cause,O
NaN,of,O
NaN,the,O
NaN,grounding.,O
Sentence 19,"""At",O
NaN,4:31,O
NaN,a.m.,O
Sentence 20,this,O
NaN,morning,O
NaN,,O
NaN,water,O
NaN,current,O
NaN,freed,O
NaN,the,O
NaN,vessel,O
NaN,Defiance,O
NaN,and,O
NaN,barge,O
NaN,Ashtabula,O
NaN,,O
NaN,a,O
NaN,720,O
NaN,foot,O
NaN,integrated,O
NaN,tug,O
NaN,and,O
NaN,barge,O
NaN,,O
NaN,from,O
NaN,the,O
NaN,clay,O
NaN,bottom,O
NaN,in,O
NaN,Round,O
NaN,Island,O
NaN,Passage,O
NaN,in,O
NaN,the,O
NaN,Straits,O
NaN,of,O
NaN,Mackinac,O
NaN,dealing,O
NaN,with,O
NaN,hazardous,B-chem
NaN,waste,I-chem
NaN,and,O
NaN,evading,O
NaN,air,O
NaN,pollution,O
NaN,supervision,O
NaN,.,O
Sentence 1,HOUSTON,O
NaN,(,O
NaN,AP,O
NaN,),O
NaN,"""",O
Sentence 2,An,O
NaN,emergency,O
NaN,dike,O
NaN,has,O
NaN,been,O
NaN,repaired,O
NaN,and,O
NaN,a,O
NaN,fire,O
NaN,-,O
NaN,damaged,O
NaN,petrochemical,O
NaN,tank,O
NaN,stabilized,O
NaN,during,O
NaN,cleanup,O
NaN,of,O
NaN,leaking,O
NaN,oil,B-chem
NaN,products,O
NaN,that,O
NaN,closed,O
NaN,part,O
NaN,of,O
NaN,the,O
NaN,Houston,O
NaN,Ship,O
NaN,Channel,O
NaN,the,O
NaN,operator,O
NaN,of,O
NaN,the,O
NaN,complex,O
NaN,said,O
NaN,Sunday,O
NaN,.,O
Sentence 3,Authorities,O
NaN,are,O
NaN,still,O
NaN,trying,O
NaN,to,O
NaN,determine,O
NaN,what,O
NaN,caused,O
NaN,a,O
NaN,March,O
NaN,17,O
NaN,fire,O
NaN,at,O
NaN,Intercontinental,O
NaN,Terminals,O
NaN,Company,O
NaN,’s,O
Sentence 4,Deer,O
NaN,Park,O
NaN,facility,O
NaN,which,O
NaN,left,O
NaN,several,O
NaN,petrochemical,O
NaN,tanks,O
NaN,damaged,O
NaN,or,O
NaN,destroyed,O
NaN,.,O
Sentence 5,Some,O
NaN,tanks,O
NaN,leaked,O
NaN,oil,B-chem
NaN,products,O
NaN,and,O
NaN,a,O
NaN,containment,O
NaN,area,O
NaN,was,O
NaN,breached,O
NaN,Friday,O
NaN,leading,O
NaN,to,O
NaN,the,O
NaN,mixture,O
NaN,reaching,O
NaN,the,O
NaN,ship,O
NaN,channel,O
NaN,said,O
NaN,Brent,O
NaN,Weber,O
NaN,an,O
NaN,ITC,O
NaN,spokesman,O
NaN,.,O
Sentence 6,The,O
NaN,channel,O
NaN,"""",O
NaN,one,O
NaN,of,O
NaN,the,O
NaN,busiest,O
NaN,commercial,O
NaN,waterways,O
NaN,in,O
NaN,the,O
NaN,country,O
NaN,"""",O
NaN,was,O
NaN,closed,O
NaN,to,O
NaN,traffic,O
NaN,that,O
NaN,day,O
NaN,.,O
Sentence 7,The,O
NaN,massive,O
NaN,fire,O
NaN,more,O
NaN,than,O
NaN,a,O
NaN,week,O
NaN,ago,O
NaN,thrust,O
NaN,plumes,O
NaN,of,O
NaN,black,O
NaN,smoke,O
NaN,into,O
NaN,the,O
NaN,air,O
NaN,and,O
NaN,burned,O
NaN,on,O
NaN,and,O
NaN,off,O
NaN,for,O
NaN,days,O
NaN,.,O
Sentence 8,Harris,O
NaN,County,O
NaN,and,O
NaN,ITC,O
NaN,officials,O
NaN,initially,O
NaN,said,O
NaN,air,O
NaN,quality,O
NaN,was,O
NaN,not,O
NaN,affected,O
NaN,by,O
NaN,the,O
NaN,blaze,O
NaN,but,O
NaN,by,O
NaN,Thursday,O
NaN,the,O
NaN,National,O
NaN,Guard,O
NaN,was,O
NaN,called,O
NaN,in,O
NaN,and,O
NaN,residents,O
NaN,were,O
NaN,warned,O
NaN,to,O
NaN,stay,O
NaN,inside,O
NaN,for,O
NaN,their,O
NaN,own,O
NaN,safety,O
NaN,because,O
NaN,of,O
NaN,high,O
NaN,levels,O
NaN,of,O
NaN,benzene,B-chem
NaN,in,O
NaN,the,O
NaN,air,O
NaN,.,O
Sentence 9,Weber,O
NaN,said,O
NaN,Sunday,O
NaN,that,O
NaN,the,O
NaN,company,O
NaN,had,O
NaN,been,O
NaN,concerned,O
NaN,about,O
NaN,the,O
NaN,possibility,O
NaN,of,O
NaN,benzene,B-chem
NaN,fumes,O
NaN,escaping,O
NaN,one,O
NaN,tank,O
NaN,damaged,O
NaN,in,O
NaN,the,O
NaN,fire,O
NaN,that,O
NaN,contained,O
NaN,pyrolysis,B-chem
NaN,gasoline,I-chem
NaN,.,O
Sentence 10,Starting,O
NaN,Saturday,O
NaN,officials,O
NaN,were,O
NaN,pumping,O
NaN,the,O
NaN,flammable,O
NaN,gas,O
NaN,out,O
NaN,of,O
NaN,the,O
NaN,tank,O
NaN,to,O
NaN,reduce,O
NaN,that,O
NaN,risk,O
NaN,.,O
Sentence 11,That,O
NaN,container,O
NaN,has,O
NaN,been,O
NaN,secured,O
NaN,and,O
NaN,air,O
NaN,monitoring,O
NaN,continues,O
NaN,Weber,O
NaN,said,O
NaN,.,O
Sentence 12,Oil,B-chem
NaN,products,O
NaN,could,O
NaN,be,O
NaN,seen,O
NaN,along,O
NaN,a,O
NaN,2-mile,O
NaN,(,O
NaN,3-kilometer,O
NaN,),O
NaN,stretch,O
NaN,of,O
NaN,the,O
NaN,waterway,O
NaN,,
NaN,according,O
NaN,to,O
NaN,Lt,O
NaN,.,O
NaN,Cmdr,O
NaN,.,O
Sentence 13,Jarod,O
NaN,Toczko,O
NaN,another,O
NaN,Coast,O
NaN,Guard,O
NaN,spokesman,O
NaN,.,O
Sentence 14,Most,O
NaN,of,O
NaN,the,O
NaN,product,O
NaN,reached,O
NaN,a,O
NaN,bayou,O
NaN,but,O
NaN,oil,B-chem
NaN,booms,O
NaN,were,O
NaN,helping,O
NaN,to,O
NaN,protect,O
NaN,the,O
NaN,area,O
NaN,.,O
Sentence 15,About,O
NaN,600,B-quant
NaN,gallons,I-quant
NaN,of,O
NaN,oil,B-chem
NaN,product,O
NaN,had,O
NaN,been,O
NaN,recovered,O
NaN,from,O
NaN,the,O
NaN,water,O
NaN,by,O
NaN,Sunday,O
NaN,he,O
NaN,said,O
NaN,.,O
Sentence 1,SARAJEVO,O
NaN,Bosnia,O
NaN,-,O
NaN,Herzegovina,O
NaN,(,O
NaN,AP,O
NaN,),O
NaN,"""",O
Sentence 2,People,O
NaN,in,O
NaN,all,O
NaN,major,O
NaN,cities,O
NaN,across,O
NaN,the,O
NaN,western,O
NaN,Balkans,O
NaN,face,O
NaN,alarming,O
NaN,levels,O
NaN,of,O
NaN,air,O
NaN,pollution,O
NaN,that,O
NaN,are,O
NaN,reducing,O
NaN,their,O
NaN,life,O
NaN,expectancies,O
NaN,because,O
NaN,the,O
NaN,underdeveloped,O
NaN,politically,O
NaN,fragile,O
NaN,region,O
NaN,is,O
NaN,still,O
NaN,heavily,O
NaN,reliant,O
NaN,on,O
NaN,burning,O
NaN,coal,O
NaN,to,O
NaN,generate,O
NaN,power,O
NaN,the,O
NaN,U.N.,O
NaN,said,O
NaN,Monday,O
NaN,in,O
NaN,a,O
NaN,new,O
NaN,report,O
NaN,.,O
Sentence 3,"""",O
NaN,The,O
NaN,population,O
NaN,is,O
NaN,exposed,O
NaN,to,O
NaN,some,O
NaN,of,O
NaN,the,O
NaN,highest,O
NaN,concentrations,O
NaN,of,O
NaN,air,O
NaN,pollution,O
NaN,in,O
NaN,Europe,O
NaN,.,O
Sentence 4,up,O
NaN,to,O
NaN,five,O
NaN,times,O
NaN,higher,O
NaN,than,O
NaN,the,O
NaN,national,O
NaN,and,O
NaN,the,O
NaN,EU,O
NaN,guideline,O
NaN,levels,O
NaN,"""",O
NaN,the,O
NaN,report,O
NaN,said,O
NaN,identifying,O
NaN,the,O
NaN,region,O
NaN,s,O
NaN,lack,O
NaN,of,O
NaN,access,O
NaN,to,O
NaN,modern,O
NaN,renewable,O
NaN,energy,O
NaN,sources,O
NaN,as,O
NaN,a,O
NaN,major,O
NaN,cause,O
NaN,of,O
NaN,its,O
NaN,air,O
NaN,pollution,O
NaN,.,O
Sentence 5,Fifteen,O
NaN,active,O
NaN,coal,O
NaN,-,O
NaN,fired,O
NaN,power,O
NaN,plants,O
NaN,some,O
NaN,of,O
NaN,them,O
NaN,obsolete,O
NaN,in,O
NaN,five,O
NaN,western,O
NaN,Balkan,O
NaN,countries,O
NaN,pump,O
NaN,substantial,O
NaN,amounts,O
NaN,of,O
NaN,sulphur,B-chem
NaN,dioxide,I-chem
NaN,,O
NaN,nitrogen,B-chem
NaN,oxide,I-chem
NaN,and,O
NaN,dust,O
NaN,or,O
NaN,particulate,O
NaN,matter,O
NaN,into,O
NaN,the,O
NaN,air,O
NaN,.,O
Sentence 6,Also,O
NaN,as,O
NaN,many,O
NaN,as,O
NaN,88,O
NaN,%,O
NaN,of,O
NaN,the,O
NaN,region,O
NaN,’s,O
NaN,7.3,O
NaN,million,O
NaN,buildings,O
NaN,use,O
NaN,decentralized,O
NaN,heating,O
NaN,systems,O
NaN,that,O
NaN,use,O
NaN,power,O
NaN,inefficiently,O
NaN,.,O
Sentence 7,The,O
NaN,report,O
NaN,says,O
NaN,in,O
NaN,the,O
NaN,Balkan,O
NaN,cities,O
NaN,that,O
NaN,were,O
NaN,examined,O
NaN,the,O
NaN,daily,O
NaN,health,O
NaN,restrictions,O
NaN,for,O
NaN,exposure,O
NaN,to,O
NaN,large,O
NaN,-,O
NaN,diameter,O
NaN,particles,O
NaN,of,O
NaN,soot,B-chem
NaN,and,O
NaN,other,O
NaN,matter,O
NaN,,O
NaN,or,O
NaN,PM10,B-chem
NaN,,O
NaN,were,O
NaN,exceeded,O
NaN,between,O
NaN,120,O
NaN,and,O
NaN,180,O
NaN,days,O
NaN,per,O
NaN,year,O
NaN,.,O
Sentence 8,That,O
NaN,is,O
NaN,much,O
NaN,higher,O
NaN,than,O
NaN,allowed,O
NaN,by,O
NaN,national,O
NaN,and,O
NaN,EU,O
NaN,laws,O
NaN,which,O
NaN,restrict,O
NaN,the,O
NaN,number,O
NaN,of,O
NaN,such,O
NaN,days,O
NaN,to,O
NaN,only,O
NaN,35,O
NaN,a,O
NaN,year,O
NaN,.,O
Sentence 1,The,O
NaN,April,O
NaN,15,O
NaN,blaze,O
NaN,sent,O
NaN,tons,O
NaN,of,O
NaN,toxic,O
NaN,lead,B-chem
NaN,from,O
NaN,the,O
NaN,cathedral,O
NaN,’s,O
NaN,burnt,O
NaN,-,O
NaN,out,O
NaN,roof,O
NaN,into,O
NaN,the,O
NaN,air,O
NaN,later,O
NaN,sinking,O
NaN,to,O
NaN,the,O
NaN,ground,O
NaN,as,O
NaN,dust,O
NaN,.,O
Sentence 2,The,O
NaN,agency,O
NaN,said,O
NaN,it,O
NaN,has,O
NaN,identified,O
NaN,a,O
NaN,child,O
NaN,from,O
NaN,the,O
NaN,area,O
NaN,with,O
NaN,"""",O
NaN,a,O
NaN,blood,O
NaN,lead,B-chem
NaN,level,O
NaN,above,O
NaN,the,O
NaN,regulatory,O
NaN,threshold,O
NaN,.,O
NaN,"""",O
Sentence 3,Soil,O
NaN,samples,O
NaN,and,O
NaN,some,O
NaN,administrative,O
NaN,buildings,O
NaN,nearby,O
NaN,tested,O
NaN,positive,O
NaN,for,O
NaN,high,O
NaN,levels,O
NaN,of,O
NaN,lead,B-chem
NaN,.,O
Sentence 4,The,O
NaN,agency,O
NaN,said,O
NaN,Tuesday,O
NaN,however,O
NaN,recent,O
NaN,samples,O
NaN,show,O
NaN,there,O
NaN,is,O
NaN,"""",O
NaN,no,O
NaN,risk,O
NaN,linked,O
NaN,to,O
NaN,air,O
NaN,quality,O
NaN,.,O
NaN,"""",O
Sentence 5,Paris,O
NaN,authorities,O
NaN,have,O
NaN,begun,O
NaN,a,O
NaN,cleanup,O
NaN,of,O
NaN,lead,B-chem
NaN,dust,O
NaN,in,O
NaN,the,O
NaN,remaining,O
NaN,cordoned,O
NaN,-,O
NaN,off,O
NaN,parts,O
NaN,of,O
NaN,Notre,O
NaN,Dame,O
NaN,’s,O
NaN,forecourt,O
NaN,with,O
NaN,a,O
NaN,vacuum,O
NaN,-,O
NaN,style,O
NaN,machine,O
NaN,.,O
Sentence 1,NASHVILLE,O
NaN,Tenn.,O
NaN,(,O
NaN,AP,O
NaN,),O
NaN,"""",O
Sentence 2,The,O
NaN,nation,O
NaN,’s,O
NaN,largest,O
NaN,public,O
NaN,utility,O
NaN,on,O
NaN,Thursday,O
NaN,agreed,O
NaN,to,O
NaN,dig,O
NaN,up,O
NaN,and,O
NaN,remove,O
NaN,about,O
NaN,12,O
NaN,million,O
NaN,cubic,O
NaN,yards,O
NaN,(,O
NaN,9.2,O
NaN,million,O
NaN,cubic,O
NaN,meters,O
NaN,),O
NaN,of,O
NaN,coal,O
NaN,ash,O
NaN,from,O
NaN,unlined,O
NaN,pits,O
NaN,at,O
NaN,a,O
NaN,Tennessee,O
NaN,coal,O
NaN,-,O
NaN,burning,O
NaN,power,O
NaN,plant,O
NaN,.,O
Sentence 3,Prompted,O
NaN,by,O
NaN,two,O
NaN,environmental,O
NaN,groups,O
NaN,the,O
NaN,state,O
NaN,sued,O
NaN,the,O
NaN,Tennessee,O
NaN,Valley,O
NaN,Authority,O
NaN,in,O
NaN,2015,O
NaN,over,O
NaN,pollution,O
NaN,from,O
NaN,coal,O
NaN,ash,O
NaN,dumps,O
NaN,at,O
NaN,the,O
NaN,Gallatin,O
NaN,Fossil,O
NaN,Plant,O
NaN,.,O
Sentence 4,According,O
NaN,to,O
NaN,court,O
NaN,filings,O
NaN,pollutants,O
NaN,leach,O
NaN,from,O
NaN,the,O
NaN,ash,O
NaN,into,O
NaN,the,O
NaN,groundwater,O
NaN,and,O
NaN,then,O
NaN,enter,O
NaN,the,O
NaN,Cumberland,O
NaN,River,O
NaN,a,O
NaN,source,O
NaN,of,O
NaN,drinking,O
NaN,water,O
NaN,for,O
NaN,Nashville,O
NaN,.,O
Sentence 5,TVA,O
NaN,which,O
NaN,provides,O
NaN,power,O
NaN,to,O
NaN,more,O
NaN,than,O
NaN,10,O
NaN,million,O
NaN,people,O
NaN,in,O
NaN,parts,O
NaN,of,O
NaN,seven,O
NaN,Southern,O
NaN,states,O
NaN,has,O
NaN,recently,O
NaN,come,O
NaN,under,O
NaN,increased,O
NaN,scrutiny,O
NaN,for,O
NaN,its,O
NaN,handling,O
NaN,of,O
NaN,coal,O
NaN,ash,O
NaN,the,O
NaN,byproduct,O
NaN,of,O
NaN,burning,O
NaN,coal,O
NaN,for,O
NaN,power,O
NaN,.,O
Sentence 6,Speaking,O
NaN,at,O
NaN,the,O
NaN,Gallatin,O
NaN,plant,O
NaN,on,O
NaN,Thursday,O
NaN,TVA,O
NaN,President,O
NaN,and,O
NaN,CEO,O
NaN,Jeff,O
NaN,Lyash,O
NaN,said,O
NaN,the,O
NaN,utility,O
NaN,is,O
NaN,committed,O
NaN,to,O
NaN,the,O
NaN,safe,O
NaN,handling,O
NaN,and,O
NaN,storage,O
NaN,of,O
NaN,coal,O
NaN,ash,O
NaN,at,O
NaN,its,O
NaN,plants,O
NaN,in,O
NaN,Tennessee,O
NaN,Kentucky,O
NaN,and,O
NaN,Alabama,O
NaN,.,O
Sentence 7,But,O
NaN,he,O
NaN,said,O
NaN,other,O
NaN,old,O
NaN,unlined,O
NaN,ash,O
NaN,pits,O
NaN,may,O
NaN,be,O
NaN,capped,O
NaN,and,O
NaN,left,O
NaN,in,O
NaN,place,O
NaN,if,O
NaN,the,O
NaN,utility,O
NaN,determines,O
NaN,it,O
NaN,is,O
NaN,safe,O
NaN,to,O
NaN,do,O
NaN,so,O
NaN,.,O
Sentence 8,The,O
NaN,Environmental,O
NaN,Protection,O
NaN,Agency,O
NaN,began,O
NaN,working,O
NaN,to,O
NaN,regulate,O
NaN,coal,O
NaN,ash,O
NaN,after,O
NaN,an,O
NaN,impoundment,O
NaN,failed,O
NaN,at,O
NaN,another,O
NaN,TVA,O
NaN,plant,O
NaN,in,O
NaN,Kingston,O
NaN,spilling,O
NaN,5.4,O
NaN,million,O
NaN,cubic,O
NaN,yards,O
NaN,(,O
NaN,4.1,O
NaN,million,O
NaN,cubic,O
NaN,meters,O
NaN,),O
NaN,of,O
NaN,ash,O
NaN,into,O
NaN,the,O
NaN,Emory,O
NaN,River,O
NaN,and,O
NaN,surrounding,O
NaN,community,O
NaN,.,O
