Sentence #,Word,POS,Tag
,PROVED,NN,0
,NOT,VBD,0
,TO,RB,0
,WORK,TO,0
,.,VB,0
Sentence: 8,CONCERNS,_SP,0
,OVER,NNS,0
,THE,IN,0
,1,DT,1
,4-DIOXANE,CD,1
,PLUME,CD,0
,WHICH,NN,0
,IS,WDT,0
,IMPACTING,VBZ,0
,PARTS,VBG,0
,OF,NNS,0
,SCIO,IN,0
,TOWNSHIP,NNP,0
,HAVE,NNP,0
,REACHED,VBP,0
,A,VBN,0
,POINT,DT,0
,WHERE,NN,0
,MANY,WRB,0
,IN,JJ,0
,THE,IN,0
,IMPACTED,DT,0
,AREA,VBN,0
,ARE,NN,0
,CALLING,VBP,0
,ON,VBG,0
,THEIR,IN,0
,LOCAL,PRP$,0
,GOVERNMENT,JJ,0
,REPRESENTATIVES,NN,0
,TO,NNS,0
,APPEAL,TO,0
,TO,VB,0
,THE,IN,0
,FEDERAL,DT,0
,GOVERNMENT,NNP,0
,FOR,NN,0
,HELP,IN,0
,.,NN,0
Sentence: 9,SPECIFICALLY,_SP,0
,MANY,RB,0
,ARE,JJ,0
,CALLING,VBP,0
,FOR,VBG,0
,THE,IN,0
,PLUME,DT,0
,TO,NN,0
,BE,TO,0
,DESIGNATED,VB,0
,AS,VBN,0
,A,IN,0
,SUPERFUND,DT,0
,CLEANUP,NNP,0
,SITE,NN,0
,AND,NN,0
,FOR,CC,0
,THE,IN,0
,U.S.,DT,0
,ENVIRONMENTAL,NNP,0
,PROTECTION,NNP,0
,AGENCY,NNP,0
,(,NNP,0
,EPA,-LRB-,0
,),NNP,0
,TO,-RRB-,0
,COME,TO,0
,IN,VB,0
,TO,RP,0
,HELP,TO,0
,LEAD,VB,0
,ITS,VB,0
,CLEANUP,PRP$,0
,.,NN,0
Sentence: 10,ACCORDING,_SP,0
,TO,VBG,0
,THE,IN,0
,EPA,DT,0
,íS,NNP,0
,WEBSITE,NNP,0
,THE,VB,0
,SUPERFUND,DT,0
,PROGRAM,NNP,0
,IS,NN,0
,RESPONSIBLE,VBZ,0
,FOR,JJ,0
,CLEANING,IN,0
,UP,VBG,0
,SOME,RP,0
,OF,DT,0
,THE,IN,0
,NATION,DT,0
,íS,NN,0
,MOST,NNP,0
,CONTAMINATED,RBS,0
,LAND,JJ,0
,AND,NN,0
,RESPONDING,CC,0
,TO,VBG,0
,ENVIRONMENTAL,IN,0
,EMERGENCIES,JJ,0
,OIL,_SP,1
,SPILLS,NN,0
,AND,NNS,0
,NATURAL,CC,0
,DISASTERS,JJ,0
,.,NNS,0
Sentence: 11,TO,_SP,0
,PROTECT,TO,0
,PUBLIC,VB,0
,HEALTH,JJ,0
,AND,NN,0
,THE,CC,0
,ENVIRONMENT,DT,0
,THE,NN,0
,SUPERFUND,DT,0
,PROGRAM,NNP,0
,FOCUSES,NN,0
,ON,VBZ,0
,MAKING,IN,0
,A,VBG,0
,VISIBLE,DT,0
,AND,JJ,0
,LASTING,CC,0
,DIFFERENCE,JJ,0
,IN,NN,0
,COMMUNITIES,IN,0
,ENSURING,NNS,0
,THAT,VBG,0
,PEOPLE,IN,0
,CAN,NNS,0
,LIVE,MD,0
,AND,VB,0
,WORK,CC,0
,IN,VB,0
,HEALTHY,IN,0
,VIBRANT,JJ,0
,PLACES,JJ,0
,.,NNS,0
Sentence: 12,ACCORDING,_SP,0
,TO,VBG,0
,THE,IN,0
,WASHTENAW,DT,0
,COUNTY,NNP,0
,HEALTH,NNP,0
,DEPARTMENT,NNP,0
,íS,NNP,0
,WEBSITE,NNP,0
,THE,_SP,0
,1,DT,1
,4-DIOXANE,CD,1
,CONTAMINATION,CD,0
,IS,NN,0
,NOT,VBZ,0
,A,RB,0
,NEW,DT,0
,PROBLEM,JJ,0
,.,NN,0
Sentence: 13,FROM,_SP,0
,1966,IN,0
,UNTIL,CD,0
,1986,IN,0
,GELMAN,CD,0
,SCIENCES,NNP,0
,(,NNPS,0
,LATER,-LRB-,0
,PALL,RB,0
,CORPORATION,NNP,0
,AND,NNP,0
,NOW,CC,0
,DANAHER,RB,0
,),NNP,0
,USED,-RRB-,0
,1,VBD,1
,4-DIOXANE,CD,1
,IN,CD,0
,THEIR,IN,0
,MANUFACTURING,PRP$,0
,PROCESS,NN,0
,THE,NN,0
,COUNTY,DT,0
,HEALTH,NN,0
,DEPARTMENT,NNP,0
,SAID,NN,0
,.,VBD,0
Sentence: 14,IN,_SP,0
,1985,IN,0
,1,CD,1
,4-DIOXANE,CD,1
,WAS,CD,0
,DISCOVERED,VBD,0
,IN,VBN,0
,RESIDENTIAL,IN,0
,DRINKING,JJ,0
,WATER,NN,0
,WELLS,NN,0
,IN,NNS,0
,THE,IN,0
,AREA,DT,0
,.,NN,0
Sentence: 15,UNFORTUNATELY,_SP,0
,1,RB,1
,4-DIOXANE,CD,1
,DOES,CD,0
,NOT,VBZ,0
,BREAK,RB,0
,DOWN,VB,0
,QUICKLY,RP,0
,IN,RB,0
,WATER,IN,0
,.,NN,0
Sentence: 16,A,_SP,0
,LARGE,DT,0
,PLUME,JJ,0
,STILL,NN,0
,EXISTS,RB,0
,UNDERGROUND,VBZ,0
,IN,RB,0
,THE,IN,0
,SOIL,DT,0
,AND,NN,0
,WATER,CC,0
,EVEN,NN,0
,AFTER,RB,0
,ALL,IN,0
,THIS,PDT,0
,TIME,DT,0
,.,NN,0
Sentence: 17,CHEBOYGAN,_SP,0
,COUNTY-,NNP,0
Sentence: 18,THE,_SP,0
,UNITED,DT,0
,STATES,NNP,0
,COAST,NNP,0
,GUARD,NNP,0
,HAS,NNP,0
,SUCCESSFULLY,VBZ,0
,FREED,RB,0
,A,VBN,0
,LARGE,DT,0
,TUG,JJ,0
,BOAT,NN,0
,AND,NN,0
,BARGE,CC,0
,THAT,NNP,0
,HAD,WDT,0
,RUN,VBD,0
,AGROUND,VBN,0
,IN,RB,0
,THE,IN,0
,ROUND,DT,0
,ISLAND,NNP,0
,PASSAGE,NNP,0
,IN,NNP,0
,THE,IN,0
,STRAITS,DT,0
,OF,NNPS,0
,MACKINAC,IN,0
,LATE,NNP,0
,LAST,RB,0
,WEEK.,JJ,0
Sentence: 20,THE,_SP,0
,COAST,DT,0
,GUARD,NNP,0
,HAD,NNP,0
,RECEIVED,VBD,0
,A,VBN,0
,REPORT,DT,0
,THAT,NN,0
,THE,IN,0
,VESSEL,DT,0
,DEFIANCE,NN,0
,A,NNP,0
,720,DT,0
,FOOT,CD,0
,INTEGRATED,NN,0
,TUG,VBN,0
,AND,NN,0
,BARGE,CC,0
,HAD,_SP,0
,RUN,VBD,0
,AGROUND,VBN,0
,IN,RB,0
,THE,IN,0
,PASSAGE,DT,0
,BETWEEN,NN,0
,MACKINAC,IN,0
,ISLAND,NNP,0
,AND,NNP,0
,ROUND,CC,0
,ISLAND,NNP,0
,IN,NNP,0
,THE,IN,0
,STRAITS,DT,0
,FRIDAY,NNPS,0
,.,NNP,0
Sentence: 21,THIS,_SP,0
,WAS,DT,0
,REPORTED,VBD,0
,TO,VBN,0
,THE,IN,0
,COAST,DT,0
,GUARD,NNP,0
,SECTOR,NNP,0
,SAULT,NNP,0
,STE,NNP,0
,.,NNP,0
Sentence: 22,MARIE,_SP,0
,COMMAND,NNP,0
,CENTER,NN,0
,AT,NN,0
,2:52,IN,0
,P.M.,CD,0
Sentence: 23,THE,_SP,0
,VESSEL,DT,0
,HAD,NN,0
,"97,VBD,B-quant
,GALLONS,``,0
,OF,CD,O
,DIESEL,NNS,1
,FUEL,IN,O
,AND,NN,O
,2.917,NN,O
,TONS,CC,O
,OF,CD,O
,STONE,NNS,O
,ONBOARD,IN,O
,.,NN,O
Sentence: 24,PRECAUTIONARY,_SP,O
,MEASURES,JJ,O
,WERE,NNS,O
,TAKEN,VBD,O
,TO,VBN,O
,ASSESS,TO,O
,ANY,VB,O
,DAMAGE,DT,O
,AND,NN,O
,THERE,CC,O
,WERE,EX,O
,NO,VBD,O
,REPORTED,DT,O
,INJURIES,VBN,O
,POLLUTION,_SP,O
,OR,NN,O
,FLOODING,CC,O
,.,NN,O
Sentence: 25,THE,_SP,O
,COAST,DT,O
,GUARD,NNP,O
,ESTABLISHED,NNP,O
,A,VBD,O
,SAFETY,DT,O
,ZONE,NN,O
,IN,NN,O
,THIS,IN,O
,AREA,DT,O
,PROHIBITING,_SP,O
,THE,VBG,O
,TRANSIT,DT,O
,OF,NN,O
,VESSELS,IN,O
,OVER,NNS,O
,100,IN,O
,GROSS,CD,O
,TONS,JJ,O
,THROUGH,NNS,O
,THE,IN,O
,ROUND,DT,O
Sentence: 27,EAST,NNP,O
,RIVER,NNP,O
,ENERGY,NNP,O
,IS,VBZ,O
,DENYING,VBG,O
,A,DT,O
,TOWN,NN,O
,CONSULTANT‚ÄôS,JJ,O
,CONTENTION,NN,O
,THAT,IN,O
,THE,DT,O
,JULY,NNP,O
,SPILL,NN,O
,WAS,VBD,O
,CAUSED,VBN,O
,BY,IN,O
,THE,DT,O
,OIL,NN,O
,COMPANY,NN,O
,AND,CC,O
,NOT,RB,O
,THE,DT,O
,TOWN‚ÄôS,NN,O
,CORRODED,VBN,O
,AND,CC,O
,SUBSTANDARD,JJ,O
,UNDERGROUND,JJ,O
,PIPES,NNS,O
,.,.,O
Sentence: 28,EAST,NNP,O
,RIVER,NNP,O
,REPRESENTATIVES,NNS,O
,ALSO,RB,O
,HAVE,VBP,O
,TOLD,VBN,O
,MUNICIPAL,JJ,O
,OFFICIALS,NNS,O
,AND,CC,O
,THE,DT,O
,STATE,NN,O
,DEPARTMENT,NNP,O
,OF,IN,O
,ENVIRONMENTAL,NNP,O
,PROTECTION,NNP,O
,THAT,IN,O
,THEY,PRP,O
,DISPUTE,VBP,O
,TOWN,NN,O
,CLAIMS,VBZ,O
,THAT,IN,O
,A,DT,O
,DELIVERY,NN,O
,WAS,VBD,O
,MADE,VBN,O
,TO,IN,O
,THE,DT,O
,WRONG,JJ,O
,PIPE,NN,O
,.,.,O
Sentence: 29,NEW,NNP,O
,HAVEN,NNP,O
,ATTORNEY,NN,O
,WAYNE,NNP,O
,MARTINO,NNP,O
Sentence: 30,REPRESENTING,VBG,O
,EAST,NNP,O
,RIVER,NNP,O
,ENERGY,NNP,O
Sentence: 31,ADVISED,VBD,O
,THE,DT,O
,TOWN,NN,O
,IN,IN,O
,A,DT,O
,LETTER,NN,O
,THAT,IN,O
,THE,DT,O
,COMPANY,NN,O
,IS,VBZ,O
,DENYING,VBG,O
,ANY,DT,O
,RESPONSIBILITY,NN,O
,FOR,IN,O
,THE,DT,O
,LEAK,NN,O
,AND,CC,O
,HAS,VBZ,O
,REQUESTED,VBN,O
,ANY,DT,O
,EVIDENCE,NN,O
,TO,TO,O
,SUBSTANTIATE,VB,O
,THE,DT,O
,TOWN‚ÄôS,JJ,O
,CLAIM,NN,O
,.,.,O
Sentence: 32,GOLDBLATT,NNP,O
,SAID,VBD,O
,HE,PRP,O
,HOPED,VBD,O
,A,DT,O
,RESOLUTION,NN,O
,COULD,MD,O
,BE,VB,O
,REACHED,VBN,O
,.,.,O
Sentence: 33,SCOTT,NNP,O
,DESHEFY,NNP,O
Sentence: 34,SUPERVISORY,JJ,O
,ENVIRONMENTAL,JJ,O
,ANALYST,NN,O
,FOR,IN,O
,THE,DT,O
,DEP‚ÄôS,NNS,O
,UNDERGROUND,NNP,O
,TANK,NNP,O
,ENFORCEMENT,NNP,O
,PROGRAM,NNP,O
Sentence: 35,SAID,VBD,O
,FRIDAY,NNP,O
,THE,DT,O
,DEP,NNP,O
,HAS,VBZ,O
,REVIEWED,VBN,O
,THE,DT,O
,REPORT,NN,O
,BY,IN,O
,DELTA,NNP,O
,ENVIRONMENTAL,NNP,O
,SERVICES,NNPS,O
,OF,IN,O
,BRANFORD,NNP,O
Sentence: 36,WHICH,WDT,O
,CONTENDS,VBZ,O
,THE,DT,O
,OIL,NN,O
,COMPANY,NN,O
,PUT,VBD,O
,HUNDREDS,NNS,O
,OF,IN,O
,GALLONS,NNS,O
,OF,IN,O
,FUEL,NN,O
,INTO,IN,O
,THE,DT,O
,WRONG,JJ,O
,PIPE,NN,O
,.,.,O
Sentence: 37,BUT,CC,O
,DESHEFY,NNP,O
,SAID,VBD,O
,ALSO,RB,O
,HE,PRP,O
,MET,VBD,O
,RECENTLY,RB,O
,WITH,IN,O
,EAST,NNP,O
,ENERGY,NNP,O
,OFFICIALS,NNS,O
Sentence: 38,WHO,WP,O
,",``,0
,WERE,VBD,0
,ADAMANT,JJ,0
,THEY,PRP,0
,DID,VBD,0
,NOT,RB,0
,DELIVER,VB,0
,OIL,NN,0
,TO,IN,0
,THE,DT,0
,WRONG,JJ,0
,PIPE,NN,0
,.,.,0
,",'',O
Sentence: 39,",``,0
,TO,IN,0
,THIS,DT,0
,POINT,NN,0
,WE,PRP,0
,CAN,MD,0
,NOT,RB,0
,DETERMINE,VB,0
,THAT,DT,0
,OR,CC,0
,NOT,RB,0
Sentence: 40,",'',O
,HE,PRP,O
,SAID,VBD,O
,.,.,O
Sentence: 41,",``,0
,RIGHT,RB,0
,NOW,RB,0
,IT,PRP,0
,APPEARS,VBZ,0
,TO,TO,0
,BE,VB,0
,BETWEEN,IN,0
,THE,DT,0
,TOWN,NN,0
,AND,CC,0
,THE,DT,0
,OIL,NN,0
,COMPANY,NN,0
,.,.,0
Sentence: 42,",``,O
,DESHEFY,NNP,O
,ADDED,VBD,O
Sentence: 43,",``,0
,THE,DT,0
,TOWN,NN,0
,IS,VBZ,0
,STILL,RB,0
,RESPONSIBLE,JJ,0
,FOR,IN,0
,HAVING,VBG,0
,SUBSTANDARD,JJ,0
,UNDERGROUND,JJ,0
,PIPES,NNS,0
,IN,IN,0
,PLACE,NN,0
,THAT,WDT,0
,HAVE,VBP,0
,VIOLATED,VBN,0
,STATE,NN,0
,STATUTES,NNS,0
,FOR,IN,0
,16,CD,0
,YEARS,NNS,0
Sentence: 44,WHICH,WDT,0
,COULD,MD,0
,ALSO,RB,0
,MEAN,VB,0
,A,DT,0
,DUAL,JJ,0
,CAUSE,NN,0
,.,.,0
